id,headshot,firstName,lastName,sweaterNumber,position,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthCountry,team_code,season
8476914,https://assets.nhle.com/mugs/nhl/20242025/BOS/8476914.png,Joonas,Korpisalo,70,GK,G,L,75,199,191,90,1994-04-28,Pori,FIN,BOS,20242025
8480280,https://assets.nhle.com/mugs/nhl/20242025/BOS/8480280.png,Jeremy,Swayman,1,GK,G,L,75,195,191,88,1998-11-24,Anchorage,USA,BOS,20242025
8484145,https://assets.nhle.com/mugs/nhl/20242025/BUF/8484145.png,Zach,Benson,9,FWD,L,L,70,170,178,77,2005-05-12,Chilliwack,CAN,BUF,20242025
8482659,https://assets.nhle.com/mugs/nhl/20242025/BUF/8482659.png,Josh,Doan,NA,FWD,R,R,74,198,188,90,2002-02-01,Scottsdale,USA,BUF,20242025
8478413,https://assets.nhle.com/mugs/nhl/20242025/BUF/8478413.png,Jordan,Greenway,12,FWD,L,L,78,231,198,105,1997-02-16,Canton,USA,BUF,20242025
8481522,https://assets.nhle.com/mugs/nhl/20242025/BUF/8481522.png,Peyton,Krebs,19,FWD,C,L,72,186,183,84,2001-01-26,Calgary,CAN,BUF,20242025
8478043,https://assets.nhle.com/mugs/nhl/20242025/BUF/8478043.png,Sam,Lafferty,81,FWD,C,R,74,205,188,93,1995-03-06,Hollidaysburg,USA,BUF,20242025
8479359,https://assets.nhle.com/mugs/nhl/20242025/BUF/8479359.png,Beck,Malenstyn,29,FWD,L,L,75,209,191,95,1998-02-04,Delta,CAN,BUF,20242025
8480802,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480802.png,Ryan,McLeod,71,FWD,C,L,75,188,191,85,1999-09-21,Mississauga,CAN,BUF,20242025
8480064,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480064.png,Josh,Norris,13,FWD,C,L,74,196,188,89,1999-05-05,Oxford,USA,BUF,20242025
8482097,https://assets.nhle.com/mugs/nhl/20242025/BUF/8482097.png,Jack,Quinn,22,FWD,R,R,73,185,185,84,2001-09-19,Ottawa,CAN,BUF,20242025
8479420,https://assets.nhle.com/mugs/nhl/20242025/BUF/8479420.png,Tage,Thompson,72,FWD,C,R,78,220,198,100,1997-10-30,Phoenix,USA,BUF,20242025
8477949,https://assets.nhle.com/mugs/nhl/20242025/BUF/8477949.png,Alex,Tuch,89,FWD,R,R,76,219,193,99,1996-05-10,Syracuse,USA,BUF,20242025
8475722,https://assets.nhle.com/mugs/nhl/20242025/BUF/8475722.png,Jason,Zucker,17,FWD,L,L,71,195,180,88,1992-01-16,Newport Beach,USA,BUF,20242025
8480879,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480879.png,Jacob,Bernard-Docker,24,DEF,D,R,73,198,185,90,2000-06-30,Canmore,CAN,BUF,20242025
8480196,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480196.png,Jacob,Bryson,78,DEF,D,L,69,177,175,80,1997-11-18,London,CAN,BUF,20242025
8481524,https://assets.nhle.com/mugs/nhl/20242025/BUF/8481524.png,Bowen,Byram,4,DEF,D,L,73,205,185,93,2001-06-13,Cranbrook,CAN,BUF,20242025
8480839,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480839.png,Rasmus,Dahlin,26,DEF,D,L,75,204,191,93,2000-04-13,Lidkoping,SWE,BUF,20242025
8480891,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480891.png,Michael,Kesselring,NA,DEF,D,R,77,215,196,98,2000-01-13,Florence,USA,BUF,20242025
8482671,https://assets.nhle.com/mugs/nhl/20242025/BUF/8482671.png,Owen,Power,25,DEF,D,L,78,226,198,103,2002-11-22,Mississauga,CAN,BUF,20242025
8480807,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480807.png,Mattias,Samuelsson,23,DEF,D,L,76,227,193,103,2000-03-14,Philadelphia,USA,BUF,20242025
8479982,https://assets.nhle.com/mugs/nhl/20242025/BUF/8479982.png,Conor,Timmins,NA,DEF,D,R,75,213,191,97,1998-09-18,St. Catharines,CAN,BUF,20242025
8480045,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480045.png,Ukko-Pekka,Luukkonen,1,GK,G,L,77,223,196,101,1999-03-09,Espoo,FIN,BUF,20242025
8473503,https://assets.nhle.com/mugs/nhl/20242025/BUF/8473503.png,James,Reimer,47,GK,G,L,74,200,188,91,1988-03-15,Morweena,CAN,BUF,20242025
8474150,https://assets.nhle.com/mugs/nhl/20242025/CGY/8474150.png,Mikael,Backlund,11,FWD,C,L,72,206,183,93,1989-03-17,Vasteras,SWE,CGY,20242025
8476399,https://assets.nhle.com/mugs/nhl/20242025/CGY/8476399.png,Blake,Coleman,20,FWD,L,L,71,199,180,90,1991-11-28,Plano,USA,CGY,20242025
8482679,https://assets.nhle.com/mugs/nhl/20242025/CGY/8482679.png,Matt,Coronato,27,FWD,R,R,70,183,178,83,2002-11-14,Greenlawn,USA,CGY,20242025
8480797,https://assets.nhle.com/mugs/nhl/20242025/CGY/8480797.png,Joel,Farabee,86,FWD,L,L,72,186,183,84,2000-02-25,Syracuse,USA,CGY,20242025
8480028,https://assets.nhle.com/mugs/nhl/20242025/CGY/8480028.png,Morgan,Frost,16,FWD,C,L,72,193,183,88,1999-05-14,Aurora,CAN,CGY,20242025
8476456,https://assets.nhle.com/mugs/nhl/20242025/CGY/8476456.png,Jonathan,Huberdeau,10,FWD,L,L,73,200,185,91,1993-06-04,Saint-Jerome,CAN,CGY,20242025
8475172,https://assets.nhle.com/mugs/nhl/20242025/CGY/8475172.png,Nazem,Kadri,91,FWD,C,L,72,185,183,84,1990-10-06,London,CAN,CGY,20242025
8477993,https://assets.nhle.com/mugs/nhl/20242025/CGY/8477993.png,Justin,Kirkland,58,FWD,C,L,75,183,191,83,1996-08-02,Winnipeg,CAN,CGY,20242025
8479066,https://assets.nhle.com/mugs/nhl/20242025/CGY/8479066.png,Ryan,Lomberg,70,FWD,L,L,69,184,175,83,1994-12-09,Richmond Hill,CAN,CGY,20242025
8477511,https://assets.nhle.com/mugs/nhl/20242025/CGY/8477511.png,Anthony,Mantha,39,FWD,R,L,77,234,196,106,1994-09-16,Longueuil,CAN,CGY,20242025
8481028,https://assets.nhle.com/mugs/nhl/20242025/CGY/8481028.png,Martin,Pospisil,76,FWD,C,L,74,173,188,78,1999-11-19,Zvolen,SVK,CGY,20242025
8479291,https://assets.nhle.com/mugs/nhl/20242025/CGY/8479291.png,Kevin,Rooney,21,FWD,C,L,74,190,188,86,1993-05-21,Canton,USA,CGY,20242025
8481068,https://assets.nhle.com/mugs/nhl/20242025/CGY/8481068.png,Yegor,Sharangovich,17,FWD,C,L,74,196,188,89,1998-06-06,Minsk,BLR,CGY,20242025
8484234,https://assets.nhle.com/mugs/nhl/20242025/CGY/8484234.png,Aydar,Suniev,36,FWD,L,L,74,198,188,90,2004-11-16,Kazan,RUS,CGY,20242025
8482074,https://assets.nhle.com/mugs/nhl/20242025/CGY/8482074.png,Connor,Zary,47,FWD,C,L,72,178,183,81,2001-09-25,Saskatoon,CAN,CGY,20242025
8478397,https://assets.nhle.com/mugs/nhl/20242025/CGY/8478397.png,Rasmus,Andersson,4,DEF,D,R,73,202,185,92,1996-10-27,Malmo,SWE,CGY,20242025
8480860,https://assets.nhle.com/mugs/nhl/20242025/CGY/8480860.png,Kevin,Bahl,7,DEF,D,L,78,230,198,104,2000-06-27,New Westminster,CAN,CGY,20242025
8479402,https://assets.nhle.com/mugs/nhl/20242025/CGY/8479402.png,Jake,Bean,24,DEF,D,L,73,191,185,87,1998-06-09,Calgary,CAN,CGY,20242025
8477810,https://assets.nhle.com/mugs/nhl/20242025/CGY/8477810.png,Joel,Hanley,44,DEF,D,L,71,186,180,84,1991-06-08,Keswick,CAN,CGY,20242025
8482624,https://assets.nhle.com/mugs/nhl/20242025/CGY/8482624.png,Daniil,Miromanov,62,DEF,D,R,76,207,193,94,1997-07-11,Moscow,RUS,CGY,20242025
8481167,https://assets.nhle.com/mugs/nhl/20242025/CGY/8481167.png,Brayden,Pachal,94,DEF,D,R,74,202,188,92,1999-08-23,Estevan,CAN,CGY,20242025
8484768,https://assets.nhle.com/mugs/nhl/20242025/CGY/8484768.png,Zayne,Parekh,89,DEF,D,R,72,179,183,81,2006-02-15,Markham,CAN,CGY,20242025
8482470,https://assets.nhle.com/mugs/nhl/20242025/CGY/8482470.png,Ilya,Solovyov,98,DEF,D,L,75,208,191,94,2000-07-20,Mogilev,BLR,CGY,20242025
8477346,https://assets.nhle.com/mugs/nhl/20242025/CGY/8477346.png,MacKenzie,Weegar,52,DEF,D,R,72,206,183,93,1994-01-07,Ottawa,CAN,CGY,20242025
8478435,https://assets.nhle.com/mugs/nhl/20242025/CGY/8478435.png,Dan,Vladar,80,GK,G,L,77,209,196,95,1997-08-20,Prague,CZE,CGY,20242025
8481692,https://assets.nhle.com/mugs/nhl/20242025/CGY/8481692.png,Dustin,Wolf,32,GK,G,L,72,166,183,75,2001-04-16,Gilroy,USA,CGY,20242025
8478427,https://assets.nhle.com/mugs/nhl/20242025/CAR/8478427.png,Sebastian,Aho,20,FWD,C,L,72,180,183,82,1997-07-26,Rauma,FIN,CAR,20242025
8482809,https://assets.nhle.com/mugs/nhl/20242025/CAR/8482809.png,Jackson,Blake,53,FWD,R,R,71,178,180,81,2003-08-03,Fargo,USA,CAR,20242025
8477478,https://assets.nhle.com/mugs/nhl/20242025/CAR/8477478.png,William,Carrier,28,FWD,L,L,74,220,188,100,1994-12-20,LaSalle,CAN,CAR,20242025
8475791,https://assets.nhle.com/mugs/nhl/20242025/CAR/8475791.png,Taylor,Hall,71,FWD,L,L,73,210,185,95,1991-11-14,Calgary,CAN,CAR,20242025
8484929,https://assets.nhle.com/mugs/nhl/20242025/CAR/8484929.png,Juha,Jaaska,54,FWD,L,L,72,210,183,95,1998-02-09,Helsinki,FIN,CAR,20242025
8476873,https://assets.nhle.com/mugs/nhl/20242025/CAR/8476873.png,Mark,Jankowski,77,FWD,C,L,76,212,193,96,1994-09-13,Hamilton,CAN,CAR,20242025
8482093,https://assets.nhle.com/mugs/nhl/20242025/CAR/8482093.png,Seth,Jarvis,24,FWD,C,R,70,184,178,83,2002-02-01,Winnipeg,CAN,CAR,20242025
8479370,https://assets.nhle.com/mugs/nhl/20242025/CAR/8479370.png,Tyson,Jost,27,FWD,C,L,71,187,180,85,1998-03-14,St. Albert,CAN,CAR,20242025
8480829,https://assets.nhle.com/mugs/nhl/20242025/CAR/8480829.png,Jesperi,Kotkaniemi,82,FWD,C,L,75,203,191,92,2000-07-06,Pori,FIN,CAR,20242025
8476921,https://assets.nhle.com/mugs/nhl/20242025/CAR/8476921.png,Jordan,Martinook,48,FWD,L,L,73,208,185,94,1992-07-25,Brandon,CAN,CAR,20242025
8480762,https://assets.nhle.com/mugs/nhl/20242025/CAR/8480762.png,Eric,Robinson,50,FWD,L,L,74,211,188,96,1995-06-14,Bellmawr,USA,CAR,20242025
8478458,https://assets.nhle.com/mugs/nhl/20242025/CAR/8478458.png,Jack,Roslovic,96,FWD,C,R,73,198,185,90,1997-01-29,Columbus,USA,CAR,20242025
8473533,https://assets.nhle.com/mugs/nhl/20242025/CAR/8473533.png,Jordan,Staal,11,FWD,C,L,76,220,193,100,1988-09-10,Thunder Bay,CAN,CAR,20242025
8482702,https://assets.nhle.com/mugs/nhl/20242025/CAR/8482702.png,Logan,Stankoven,22,FWD,C,R,68,165,173,75,2003-02-26,Kamloops,CAN,CAR,20242025
8480830,https://assets.nhle.com/mugs/nhl/20242025/CAR/8480830.png,Andrei,Svechnikov,37,FWD,R,L,75,199,191,90,2000-03-26,Barnaul,RUS,CAR,20242025
8470613,https://assets.nhle.com/mugs/nhl/20242025/CAR/8470613.png,Brent,Burns,8,DEF,D,R,77,228,196,103,1985-03-09,Barrie,CAN,CAR,20242025
8478970,https://assets.nhle.com/mugs/nhl/20242025/CAR/8478970.png,Jalen,Chatfield,5,DEF,D,R,73,199,185,90,1996-05-15,Ypsilanti,USA,CAR,20242025
8476906,https://assets.nhle.com/mugs/nhl/20242025/CAR/8476906.png,Shayne,Gostisbehere,4,DEF,D,L,71,183,180,83,1993-04-20,Pembroke Pines,USA,CAR,20242025
8482666,https://assets.nhle.com/mugs/nhl/20242025/CAR/8482666.png,Scott,Morrow,56,DEF,D,R,74,210,188,95,2002-11-01,Darien,USA,CAR,20242025
8482100,https://assets.nhle.com/mugs/nhl/20242025/CAR/8482100.png,Alexander,Nikishin,21,DEF,D,L,76,216,193,98,2001-10-02,Orel,RUS,CAR,20242025
8475200,https://assets.nhle.com/mugs/nhl/20242025/CAR/8475200.png,Dmitry,Orlov,7,DEF,D,L,71,214,180,97,1991-07-23,Novokuznetsk,RUS,CAR,20242025
8476958,https://assets.nhle.com/mugs/nhl/20242025/CAR/8476958.png,Jaccob,Slavin,74,DEF,D,L,75,207,191,94,1994-05-01,Denver,USA,CAR,20242025
8480883,https://assets.nhle.com/mugs/nhl/20242025/CAR/8480883.png,Ty,Smith,42,DEF,D,L,71,180,180,82,2000-03-24,Lloydminster,CAN,CAR,20242025
8479388,https://assets.nhle.com/mugs/nhl/20242025/CAR/8479388.png,Riley,Stillman,61,DEF,D,L,74,207,188,94,1998-03-09,Peterborough,CAN,CAR,20242025
8480336,https://assets.nhle.com/mugs/nhl/20242025/CAR/8480336.png,Sean,Walker,26,DEF,D,R,71,191,180,87,1994-11-13,Keswick,CAN,CAR,20242025
8475883,https://assets.nhle.com/mugs/nhl/20242025/CAR/8475883.png,Frederik,Andersen,31,GK,G,L,76,229,193,104,1989-10-02,Herning,DNK,CAR,20242025
8481611,https://assets.nhle.com/mugs/nhl/20242025/CAR/8481611.png,Pyotr,Kochetkov,52,GK,G,L,75,193,191,88,1999-06-25,Penza,RUS,CAR,20242025
8482895,https://assets.nhle.com/mugs/nhl/20242025/CAR/8482895.png,Nikita,Quapp,NA,GK,G,L,75,187,191,85,2003-01-25,Ravensburg,DEU,CAR,20242025
8484144,https://assets.nhle.com/mugs/nhl/20242025/CHI/8484144.png,Connor,Bedard,98,FWD,C,R,70,185,178,84,2005-07-17,North Vancouver,CAN,CHI,20242025
8477479,https://assets.nhle.com/mugs/nhl/20242025/CHI/8477479.png,Tyler,Bertuzzi,59,FWD,L,L,74,200,188,91,1995-02-24,Sudbury,CAN,CHI,20242025
8477444,https://assets.nhle.com/mugs/nhl/20242025/CHI/8477444.png,Andre,Burakovsky,NA,FWD,L,L,75,203,191,92,1995-02-09,Klagenfurt,AUT,CHI,20242025
8477450,https://assets.nhle.com/mugs/nhl/20242025/CHI/8477450.png,Jason,Dickinson,16,FWD,C,L,74,200,188,91,1995-07-04,Georgetown,CAN,CHI,20242025
8477987,https://assets.nhle.com/mugs/nhl/20242025/CHI/8477987.png,Ryan,Donato,8,FWD,C,L,72,190,183,86,1996-04-09,Boston,USA,CHI,20242025
8473422,https://assets.nhle.com/mugs/nhl/20242025/CHI/8473422.png,Nick,Foligno,17,FWD,L,L,72,210,183,95,1987-10-31,Buffalo,USA,CHI,20242025
8483450,https://assets.nhle.com/mugs/nhl/20242025/CHI/8483450.png,Ryan,Greene,20,FWD,C,R,73,174,185,79,2003-10-21,St. John's,CAN,CHI,20242025
8480798,https://assets.nhle.com/mugs/nhl/20242025/CHI/8480798.png,Philipp,Kurashev,23,FWD,C,L,72,190,183,86,1999-10-12,Munsingen,CHE,CHI,20242025
8474034,https://assets.nhle.com/mugs/nhl/20242025/CHI/8474034.png,Patrick,Maroon,77,FWD,L,L,75,234,191,106,1988-04-23,St. Louis,USA,CHI,20242025
8481624,https://assets.nhle.com/mugs/nhl/20242025/CHI/8481624.png,Ilya,Mikheyev,95,FWD,R,L,74,192,188,87,1994-10-10,Omsk,RUS,CHI,20242025
8484197,https://assets.nhle.com/mugs/nhl/20242025/CHI/8484197.png,Oliver,Moore,11,FWD,C,L,71,188,180,85,2005-01-22,Mounds View,USA,CHI,20242025
8483493,https://assets.nhle.com/mugs/nhl/20242025/CHI/8483493.png,Frank,Nazar,91,FWD,C,R,70,190,178,86,2004-01-14,Detroit,USA,CHI,20242025
8482117,https://assets.nhle.com/mugs/nhl/20242025/CHI/8482117.png,Lukas,Reichel,73,FWD,L,L,72,170,183,77,2002-05-17,Nürnberg,DEU,CHI,20242025
8482172,https://assets.nhle.com/mugs/nhl/20242025/CHI/8482172.png,Landon,Slaggert,84,FWD,L,L,72,180,183,82,2002-06-25,South Bend,USA,CHI,20242025
8476882,https://assets.nhle.com/mugs/nhl/20242025/CHI/8476882.png,Teuvo,Teravainen,86,FWD,C,L,71,191,180,87,1994-09-11,Helsinki,FIN,CHI,20242025
8481806,https://assets.nhle.com/mugs/nhl/20242025/CHI/8481806.png,Louis,Crevier,46,DEF,D,R,80,228,203,103,2001-05-04,Quebec City,CAN,CHI,20242025
8482176,https://assets.nhle.com/mugs/nhl/20242025/CHI/8482176.png,Wyatt,Kaiser,44,DEF,D,L,72,173,183,78,2002-07-31,Andover,USA,CHI,20242025
8484783,https://assets.nhle.com/mugs/nhl/20242025/CHI/8484783.png,Artyom,Levshunov,55,DEF,D,R,74,208,188,94,2005-10-28,Zhlobin,BLR,CHI,20242025
8474166,https://assets.nhle.com/mugs/nhl/20242025/CHI/8474166.png,Alec,Martinez,25,DEF,D,L,73,210,185,95,1987-07-26,Rochester Hills,USA,CHI,20242025
8476473,https://assets.nhle.com/mugs/nhl/20242025/CHI/8476473.png,Connor,Murphy,5,DEF,D,R,76,212,193,96,1993-03-26,Dublin,USA,CHI,20242025
8483506,https://assets.nhle.com/mugs/nhl/20242025/CHI/8483506.png,Sam,Rinzel,6,DEF,D,R,76,177,193,80,2004-06-25,Chanhassen,USA,CHI,20242025
8481568,https://assets.nhle.com/mugs/nhl/20242025/CHI/8481568.png,Alex,Vlasic,72,DEF,D,L,78,217,198,98,2001-06-05,Wilmette,USA,CHI,20242025
8481519,https://assets.nhle.com/mugs/nhl/20242025/CHI/8481519.png,Spencer,Knight,30,GK,G,L,75,191,191,87,2001-04-19,Darien,USA,CHI,20242025
8482821,https://assets.nhle.com/mugs/nhl/20242025/CHI/8482821.png,Arvid,Soderblom,40,GK,G,L,75,180,191,82,1999-08-19,Göteborg,SWE,CHI,20242025
8479525,https://assets.nhle.com/mugs/nhl/20242025/COL/8479525.png,Ross,Colton,20,FWD,C,L,72,194,183,88,1996-09-11,Robbinsville,USA,COL,20242025
8477494,https://assets.nhle.com/mugs/nhl/20242025/COL/8477494.png,Jonathan,Drouin,27,FWD,L,L,71,198,180,90,1995-03-28,Ste-Agathe,CAN,COL,20242025
8480835,https://assets.nhle.com/mugs/nhl/20242025/COL/8480835.png,Jack,Drury,18,FWD,C,L,71,186,180,84,2000-02-03,New York,USA,COL,20242025
8480448,https://assets.nhle.com/mugs/nhl/20242025/COL/8480448.png,Parker,Kelly,17,FWD,C,L,73,185,185,84,1999-05-14,Camrose,CAN,COL,20242025
8481641,https://assets.nhle.com/mugs/nhl/20242025/COL/8481641.png,Joel,Kiviranta,94,FWD,L,L,71,185,180,84,1996-03-23,Vantaa,FIN,COL,20242025
8476455,https://assets.nhle.com/mugs/nhl/20242025/COL/8476455.png,Gabriel,Landeskog,92,FWD,L,L,73,215,185,98,1992-11-23,Stockholm,SWE,COL,20242025
8477476,https://assets.nhle.com/mugs/nhl/20242025/COL/8477476.png,Artturi,Lehkonen,62,FWD,L,L,71,179,180,81,1995-07-04,Piikkio,FIN,COL,20242025
8477492,https://assets.nhle.com/mugs/nhl/20242025/COL/8477492.png,Nathan,MacKinnon,29,FWD,C,R,72,200,183,91,1995-09-01,Halifax,CAN,COL,20242025
8480039,https://assets.nhle.com/mugs/nhl/20242025/COL/8480039.png,Martin,Necas,88,FWD,C,R,75,195,191,88,1999-01-15,Nove Mesto na Morave,CZE,COL,20242025
